,P2,P4,P6,P8,P9,W5,W6,W7,W8,W9,,,P2,P4,P6,P8,P9,W5,W6,W7,W8,W9
ENSMUSG00000034785_Dio1,12.81553998,12.53298044,12.73160645,12.69695761,12.67450093,12.30302586,12.56276002,12.33649924,12.68911963,12.62478955,,Dio1,2.62601816,2.036442315,2.303376635,2.113074445,1.83629169,1.725578295,1.92471086,1.88158321,1.731555045,2.069691915
ENSMUSG00000007682_Dio2,8.436852091,8.792505405,8.283575037,8.701827585,8.462667958,9.116503964,8.818976902,9.061028237,8.792682344,9.187085961,,Dio2,-1.752669729,-1.70403272,-2.144654778,-1.88205558,-2.375541282,-1.460943601,-1.819072258,-1.393887793,-2.164882241,-1.368011674
ENSMUSG00000033268_Duox1,6.583233673,6.220466903,5.715610045,7.13431083,6.165968655,5.884824932,5.985712589,5.842467742,5.818163553,5.638959594,,Duox1,-3.606288147,-4.276071222,-4.71261977,-3.449572335,-4.672240585,-4.692622633,-4.652336571,-4.612448288,-5.139401032,-4.916138041
ENSMUSG00000068452_Duox2,9.927602451,9.827380885,9.854868574,9.693359772,9.426749325,9.570618601,9.822853274,9.479845692,9.846297741,9.615196735,,Duox2,-0.261919369,-0.66915724,-0.573361241,-0.890523393,-1.411459915,-1.006828964,-0.815195886,-0.975070338,-1.111266844,-0.9399009
ENSMUSG00000070990_Foxe1,12.35857114,11.89679109,11.95461747,11.84476197,12.01584609,11.72466898,12.14978106,11.87042958,11.8448038,12.16213076,,Foxe1,2.16904932,1.400252965,1.526387655,1.260878805,1.17763685,1.147221415,1.5117319,1.41551355,0.887239215,1.607033125
ENSMUSG00000052942_Glis3,9.629966741,9.377101828,9.561023377,9.310899901,9.050960043,9.267004234,9.093276526,9.625345976,9.835112855,9.431616402,,Glis3,-0.559555079,-1.119436297,-0.867206438,-1.272983264,-1.787249197,-1.310443331,-1.544772634,-0.829570054,-1.12245173,-1.123481233
ENSMUSG00000001496_Nkx2-1,12.40719436,12.20916337,12.15249567,12.0261253,12.12682398,11.86529837,12.20311854,11.78263073,12.30001926,12.06882398,,Nkx2-1,2.21767254,1.712625245,1.724265855,1.442242135,1.28861474,1.287850805,1.56506938,1.3277147,1.342454675,1.513726345
ENSMUSG00000026976_Pax8,13.51514993,12.94065126,13.29442295,12.89281035,12.82495319,12.81634782,13.1138434,12.61115921,13.07728989,12.80968992,,Pax8,3.32562811,2.444113135,2.866193135,2.308927185,1.98674395,2.238900255,2.47579424,2.15624318,2.119725305,2.254592285
ENSMUSG00000020651_Slc26a4,3.645756535,4.058773035,3.838124031,3.639040115,3.843552085,3.623675518,3.605487744,3.683879936,3.512378583,3.487312536,,Slc26a4,-6.543765285,-6.43776509,-6.590105784,-6.94484305,-6.994657155,-6.953772047,-7.032561416,-6.771036094,-7.445186002,-7.067785099
ENSMUSG00000000792_Slc5a5,10.16304239,10.71804259,10.63825714,10.95187587,11.26717319,10.44754963,11.08266047,10.26779317,11.12075431,10.58950154,,Slc5a5,-0.02647943,0.221504465,0.210027325,0.367992705,0.42896395,-0.129897935,0.44461131,-0.18712286,0.163189725,0.034403905
ENSMUSG00000020062_Slc5a8,9.62502799,9.833913537,9.923321919,9.16805789,9.588796181,10.34924805,10.60931699,10.25294315,10.79437486,10.52069373,,Slc5a8,-0.56449383,-0.662624588,-0.504907896,-1.415825275,-1.249413059,-0.228199515,-0.02873217,-0.20197288,-0.163189725,-0.034403905
ENSMUSG00000053469_Tg,21.17659906,21.03571154,21.35465921,20.79588229,20.83074328,21.30517148,21.54542753,21.26776334,21.81282959,21.58811349,,Tg,10.98707724,10.53917342,10.9264294,10.21199913,9.99253404,10.72772392,10.90737837,10.81284731,10.85526501,11.03301586
ENSMUSG00000058756_Thra,10.21600125,10.27503366,10.21820249,10.21589046,10.40924529,10.7073455,10.66678133,10.64203889,10.39913229,10.38584663,,Thra,0.02647943,-0.221504465,-0.210027325,-0.367992705,-0.42896395,0.129897935,0.02873217,0.18712286,-0.558432295,-0.169251005
ENSMUSG00000021779_Thrb,7.936644684,8.013913497,8.306520222,7.943999254,8.090662804,8.384723511,8.473378062,9.040404177,8.190805332,8.185699394,,Thrb,-2.252877136,-2.482624628,-2.121709593,-2.639883911,-2.747546436,-2.192724054,-2.164671098,-1.414511853,-2.766759253,-2.369398241
ENSMUSG00000020673_Tpo,15.31565475,14.99975874,14.8601344,14.91404046,14.34559332,14.0753229,14.20625125,13.96527238,14.40819798,14.20919379,,Tpo,5.12613293,4.503220615,4.431904585,4.330157295,3.50738408,3.497875335,3.56820209,3.51035635,3.450633395,3.654096155
ENSMUSG00000020963_Tshr,12.13105869,11.36844835,10.95001516,11.56942721,11.32100748,11.28004617,10.53958005,10.67745064,11.35202848,10.74156874,,Tshr,1.94153687,0.871910225,0.521785345,0.985544045,0.48279824,0.702598605,-0.09846911,0.22253461,0.394463895,0.186471105
,10.18952182,10.49653813,10.42822982,10.58388317,10.83820924,10.57744757,10.63804916,10.45491603,10.95756459,10.55509764,,,0.803221662,0.384751633,0.424111069,0.259821014,-0.060381502,0.217638405,0.266901199,0.320518476,0.029559821,0.272791287
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
19,23,4,Dio1,,,,,,,,,,P2,P4,P6,P8,P9,W5,W6,W7,W8,W9
19,23,4,Dio2,,,,,,,,,tds,0.803221662,0.384751633,0.424111069,0.259821014,-0.060381502,0.217638405,0.266901199,0.320518476,0.029559821,0.272791287
19,24,5,Duox1,,,,,,,,,,,,,,,,,,,
19,24,5,Duox2,,,,,,,,,,,,,,,,,,,
19,24,5,Foxe1,,,,,,,,,,TDS(mean),,,,,,,,,
19,24,5,Glis3,,,,,,,,,Pink1 K/O,0.362304775,,,,,,,,,
19,25,6,Nkx2-1,,,,,,,,,WT,0.221481837,,,,,,,,,
19,23,4,Pax8,,,,,,,,,,,,,,,,,,,
19,26,7,Slc26a4,,,,,,,,,,,,,,,,,,,
19,25,6,Slc5a5,,,,,,,,,,,,,,,,,,,
19,25,6,Slc5a8,,,,,,,,,,,,,,,,,,,
19,21,2,Tg,,,,,,,,,,,,,,,,,,,
19,23,4,Thra,,,,,,,,,,,,,,,,,,,
19,23,4,Thrb,,,,,,,,,,,,,,,,,,,
19,22,3,Tpo,,,,,,,,,,,,,,,,,,,
19,23,4,Tshr,,,,,,,,,,,,,,,,,,,
